Latin,English,EnglishAbbrev,EchoMeter,LatinAbbrev,bat
Barbastellus barbastellus,Barbastelle,Barbastelle,BARBAR,Bbar,1
Eptesicus serotinus,Serotine,Serotine,EPTSER,Eser,1
Myotis alcathoe,Alcathoe whiskered,Alcathoe,MYOALC,Malc,1
Myotis bechsteinii,Bechsteins,Bechsteins,MYOBEC,Mbrec,1
Myotis brandtii,Brandts,Brandts,MYOBRA,Mbra,1
Myotis daubentonii,Daubentons,Daubentons,MYODAU,Mdau,1
Myotis mystacinus,Whiskered,Whiskered,MYOMYS,Mmys,1
Myotis nattereri,Natterers,Natterers,MYONAT,Mnat,1
Nyctalus leisleri,Leislers,Leislers,NYCLEI,Blei,1
Nyctalus noctula,Noctule,Noctule,NYCNOC,Nnoc,1
Pipistrellus nathusii,Nathusius's pipistrelle,Nathusius,PIPNAT,Pnat,1
Pipistrellus pipistrellus,Common pipistrelle,Pip,PIPPIP,Ppip,1
Pipistrellus pygmaeus,Soprano pipistrelle,Soprano,PIPPYG,Ppyg,1
Plecotus auritus,Brown long eared,Long_Eared,PLEAUR,Paur,1
Plecotus austriacus,Grey long eared,Long_Eared,PLEAUS,Paus,1
Rhinolophus ferrumequinum,Greater Horseshoe,Horseshoe,RHIFER,Rfer,1
Rhinolophus hipposideros,Lesser Horseshoe,Horseshoe,RHIHIP,Rhip,1
Tettigonia viridissima,Great Green Bush Cricket,cricket,,,0
Metrioptera roeselii,Roesels bush cricket,cricket,,,0
Leptophyes puctatissima,Speckled bush cricket,cricket,,,0
Pholidoptera griseodtera,Dark bush cricket,cricket,,,0
Metrioptera brachyptera,Bog bush cricket,cricket,,,0
Platycleis albopuntata,Grey bush cricket,cricket,,,0
Conocephalus fuscus,Long winged conehead,cricket,,,0
Conocephalus discolor,Short winged conehead,cricket,,,0
Rattus norvegicus,Brown rat,rat,,,0
Micromys minutus,Harvest mouse,mouse,,,0
Apodemus sylvaticus,Wood mouse,mouse,,,0
Apodemus flavicollis,Yellow necked mouse,mouse,,,0
Mus musculus,House mouse,mouse,,,0
Sorex araneus,Common shrew,shrew,,,0
Sorex minutus,Pygmy shrew,shrew,,,0
Neomys fodiens,Water shrew,shrew,,,0
Myodes glareolus,Bank vole,vole,,,0
Microtus agrestis,Field vole,vole,,,0
Arvicola amphibius,Water vole,vole,,,0
Muscardinus avellanarius,Dormouse,Dormouse,,,0
Insect,Insect,Insect,Insect,,0
NoID,NoID,NoID,NoID,,0
