id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob,event
0,0.802,0.0135,0.0204,90805,52109,Pipistrellus pygmaeus,0.799,Echolocation
1,0.511,0.0895,0.0965,70074,53828,Pipistrellus pygmaeus,0.502,Echolocation
2,0.548,0.1485,0.1543,65571,55546,Pipistrellus pygmaeus,0.545,Echolocation
3,0.686,0.2535,0.2592,80477,53828,Pipistrellus pygmaeus,0.682,Echolocation
4,0.721,0.3395,0.3436,63798,52109,Pipistrellus pygmaeus,0.714,Echolocation
5,0.721,0.4225,0.4282,81028,52968,Pipistrellus pygmaeus,0.717,Echolocation
6,0.723,0.4925,0.4981,75975,52968,Pipistrellus pygmaeus,0.721,Echolocation
7,0.800,0.5013,0.5069,43863,32594,Pipistrellus pygmaeus,0.800,Social
8,0.800,0.5459,0.5729,42476,19764,Pipistrellus pygmaeus,0.800,Social
9,0.777,0.6075,0.6126,81598,53828,Pipistrellus pygmaeus,0.772,Echolocation
10,0.764,0.6335,0.6395,73503,53828,Pipistrellus pygmaeus,0.760,Echolocation
11,0.766,0.6845,0.6890,70248,52968,Pipistrellus pygmaeus,0.758,Echolocation
12,0.800,0.7324,0.7469,42996,19591,Pipistrellus pygmaeus,0.800,Social
13,0.806,0.8025,0.8073,70136,53828,Pipistrellus pygmaeus,0.799,Echolocation
14,0.742,0.8395,0.8457,84119,54687,Pipistrellus pygmaeus,0.741,Echolocation
15,0.800,0.8920,0.9171,45250,19938,Pipistrellus pygmaeus,0.800,Social
16,0.737,0.9665,0.9732,66063,53828,Pipistrellus pygmaeus,0.731,Echolocation
